job,nextJobs,prevJobs,jobExec,isBase,path
PSTMCP0013,PSTMCP0014,#N/A,pstm-pe-spk-qlt-prslprivlinesdlysettls-01,TRUE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0014,"PSTMCP0015, PSTMCP0016",PSTMCP0013,pstm-pe-krb-inr-prslprivlinesdlysettlp-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0015,#N/A,PSTMCP0014,pstm-pe-spk-qlt-prslprivlinesdlysettlr-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0016,PSTMCP0017,PSTMCP0014,pstm-pe-krb-inm-prslprivlinesdlysettlp-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0017,PSTMCP0018,PSTMCP0016,pstm-pe-spk-qlt-prslprivlinesdlysettlm-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0018,#N/A,PSTMCP0017,pstm-pe-dfs-rmv-hdfs-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0019,PSTMCP0020,#N/A,pstm-pe-spk-qlt-comexapplratesinfos-01,TRUE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0020,"PSTMCP0021, PSTMCP0022",PSTMCP0019,pstm-pe-krb-inr-comexapplratesinfop-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0021,#N/A,PSTMCP0020,pstm-pe-spk-qlt-comexapplratesinfor-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0022,PSTMCP0023,PSTMCP0020,pstm-pe-krb-inm-comexapplratesinfop-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0023,PSTMCP0024,PSTMCP0022,pstm-pe-spk-qlt-comexapplratesinfom-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0024,#N/A,PSTMCP0023,pstm-pe-dfs-rmv-hdfs-01,FALSE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
PSTMCP0025,PSTMCP0026,#N/A,pstm-pe-spk-qlt-billingincidentss-01,TRUE,./xmls/Local/PSTM/CR-PESTMDIA-T02.xml
